,rank,finalWorth,age,selfMade,is_male,birthDate,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
706,699,4000,51.0,True,True,60357600.0,1971.0,12.0,1.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
707,699,4000,65.0,True,True,-378727200.0,1958.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
708,699,4000,42.0,True,True,332517600.0,1980.0,7.0,16.0,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
709,699,4000,79.0,True,False,-827402400.0,1943.0,10.0,14.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
710,699,4000,63.0,False,True,-315309600.0,1960.0,1.0,5.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
711,699,4000,67.0,False,True,-450957600.0,1955.0,9.0,18.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
712,699,4000,80.0,True,True,-854791200.0,1942.0,12.0,1.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
713,699,4000,90.0,False,True,-1190196000.0,1932.0,4.0,15.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
714,699,4000,68.0,True,True,-473421600.0,1955.0,1.0,1.0,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
715,699,4000,76.0,True,True,-727092000.0,1946.0,12.0,18.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
716,699,4000,75.0,True,True,-696074400.0,1947.0,12.0,12.0,114.11,2.2,592164400688,67.8,100.0,77.6,17.4,40.8,37970874.0,51.919438,19.145136
717,699,4000,69.0,True,True,-509623200.0,1953.0,11.0,8.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
718,699,4000,74.0,True,True,-681213600.0,1948.0,6.0,1.0,141.54,3.6,1258286717125,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
719,699,4000,73.0,True,True,-631188000.0,1950.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
720,721,3900,76.0,False,True,-725882400.0,1947.0,1.0,1.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
721,721,3900,72.0,False,True,-593863200.0,1951.0,3.0,9.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
722,721,3900,73.0,False,True,-654429600.0,1949.0,4.0,7.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
723,721,3900,91.0,True,True,-1199268000.0,1932.0,1.0,1.0,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
